,City,Country,latitude,longitude
124,Koblenz Germany, Germany,50.3569429,7.5889959
125,Maastricht, Netherlands,50.8513682,5.6909725
126,Alcala-de Henares Spain, Spain,40.4843898,-3.3688023
127,Segovia Spain, Spain,40.9429032,-4.108806899999999
128,Limoges France, France,45.83361900000001,1.261105
129,Marburg Germany, Germany,50.8018843,8.7657677
130,Ferrara, Italy,44.8381237,11.619787
131,Enschede, Netherlands,52.2215372,6.8936619
132,Zurich, Switzerland,47.3768866,8.541694
133,Cardiff, United Kingdom,51.483707,-3.1680962
134,Glasgow, United Kingdom,55.864237,-4.251806
135,Darmstadt, Germany,49.8728253,8.6511929
136,Burgos Spain, Spain,42.3504659,-3.689354499999999
137,Nicosia, Cyprus,35.1855659,33.38227639999999
138,Udine, Italy,46.0710668,13.2345794
139,Istanbul, Turkey,41.0082376,28.9783589
140,Gent, Belgium,51.0500182,3.7303351
141,Mechelen, Belgium,51.0259143,4.4775553
142,Eindhoven, Netherlands,51.42314229999999,5.462289699999999
143,Lyon, France,45.764043,4.835659
144,Nice, France,43.7101728,7.261953200000001
145,Tubingen, Germany,48.5216364,9.0576448
146,Saarbrucken, Germany,49.2381697,6.997547
147,Cork, Ireland,51.8985143,-8.4756035
148,Galway, Ireland,53.274001,-9.051266199999999
149,Maynooth Ireland, Ireland,53.3812896,-6.5918499
150,Limerick, Ireland,52.663839,-8.626729899999999
151,Konstanz Germany, Germany,47.6779808,9.1736741
152,Cadiz Spain, Spain,36.5210142,-6.2804565
153,Magdeburg, Germany,52.1205333,11.6276237
154,Oslo, Norway,59.9138688,10.7522454
155,Leeds, United Kingdom,53.8007554,-1.5490774
156,Msida, Malta,35.8993715,14.4845673
157,London, United Kingdom,51.5072178,-0.1275862
158,Warwick United Kingdom, United Kingdom,52.28231599999999,-1.584927
159,Klagenfurt Austria, Austria,46.6364598,14.3122246
160,Espoo, Finland,60.2054911,24.6559001
161,Delft, Netherlands,52.01157689999999,4.3570677
162,Lausanne, Switzerland,46.5196535,6.6322734
163,Liege, Belgium,50.63295859999999,5.569749799999999
164,Tours France, France,47.394144,0.68484
165,Flensburg Germany, Germany,54.7937431,9.4469964
166,Birmingham, United Kingdom,52.48624299999999,-1.890401
167,Aberdeen, United Kingdom,57.1498891,-2.0937528
168,Norwich, United Kingdom,52.6292567,1.2978802
169,St Andrews United Kingdom, United Kingdom,56.3397753,-2.7967214
170,Freiburg, Germany,47.9990077,7.842104299999999
171,Trento, Italy,46.0747793,11.1217486
172,Oviedo, Spain,43.3622522,-5.8485461
173,Orleans France, France,47.902964,1.909251
174,Exeter, United Kingdom,50.72603669999999,-3.5274889
175,Tromso, Norway,69.6497717,18.984122
176,Gottingen Germany, Germany,51.54128040000001,9.915803499999999
177,Leon, Spain,42.59836110000001,-5.5718779
178,Edinburgh, United Kingdom,55.953252,-3.188267
179,Pisa, Italy,43.7228386,10.4016888
180,Porto, Portugal,41.1579438,-8.629105299999999
